symbol,Name of Securities,Category,Sub-Category,Board Lot,Expiry Date,ETF / Fund Manager,Debt Securities Investor Type,Div Stock,Blue Chip,HSI
0251.HK,SEA HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0252.HK,SE ASIA PPT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0253.HK,SHUNHO HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0254.HK,NUR HOLDINGS,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0255.HK,LUNG KEE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0256.HK,CITYCHAMP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0257.HK,EB ENVIRONMENT,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0258.HK,TOMSON GROUP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0259.HK,YEEBO (INT'L H),Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0260.HK,AVIC JOY HLDG,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0261.HK,GBA HOLDINGS,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0262.HK,DESON DEV INT'L,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0264.HK,CN INT DEV CORP,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0265.HK,OV SERVICES,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0266.HK,TIAN TECK LAND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0267.HK,CITIC,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0268.HK,KINGDEE INT'L,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0269.HK,CRTG,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0270.HK,GUANGDONG INV,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0271.HK,ASIASEC PPT,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0272.HK,SHUI ON LAND,Equity,Equity Securities (Main Board),500,,,,Y,,N
0273.HK,MASON GP HOLD,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0274.HK,RA SILK ROAD,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0276.HK,MONGOLIA ENERGY,Equity,Equity Securities (Main Board),"3,000",,,,N,,N
0277.HK,TERN PROPERTIES,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0278.HK,WAH HA REALTY,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0279.HK,ARTA TECHFIN,Equity,Equity Securities (Main Board),"6,000",,,,N,,N
0280.HK,KING FOOK HOLD,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0285.HK,BYD ELECTRONIC,Equity,Equity Securities (Main Board),500,,,,Y,,N
0286.HK,AIDIGONG,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0287.HK,WINFAIR INV,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0288.HK,WH GROUP,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0289.HK,WING ON CO,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0290.HK,GOFINTECH INNOV,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0291.HK,CHINA RES BEER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,Y
0292.HK,ASIA STD HOTEL,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0293.HK,CATHAY PAC AIR,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0294.HK,YANGTZEKIANG,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0295.HK,KONG SUN HOLD,Equity,Equity Securities (Main Board),"25,000",,,,N,,N
0296.HK,EMPEROR E HOTEL,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0297.HK,SINOFERT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0298.HK,CHUANG'S CHINA,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
0299.HK,GLORY SUN LAND,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0301.HK,SANVO CHEMICALS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0302.HK,CMGE,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0303.HK,VTECH HOLDINGS,Equity,Equity Securities (Main Board),100,,,,Y,,N
0305.HK,WULING MOTORS,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
0306.HK,KWOON CHUNG BUS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0308.HK,CHINA TRAVEL HK,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0309.HK,XH NEWS MEDIA,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0310.HK,PROSP INV HOLD,Equity,Investment Companies,"15,000",,,,N,,N
0311.HK,LUEN THAI,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0312.HK,SHIRBLE STORE,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0313.HK,RICHLY FIELD,Equity,Equity Securities (Main Board),"50,000",,,,N,,N
0314.HK,SIPAI HEALTH,Equity,Equity Securities (Main Board),200,,,,N,,N
0315.HK,SMARTONE TELE,Equity,Equity Securities (Main Board),500,,,,Y,,N
0316.HK,OOIL,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0317.HK,COMEC,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0318.HK,VONGROUP,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0320.HK,COMPUTIME,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0321.HK,TEXWINCA HOLD,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0322.HK,TINGYI,Equity,Equity Securities (Main Board),"2,000",,,,Y,,Y
0323.HK,MAANSHAN IRON,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0326.HK,CHINA STAR ENT,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0327.HK,PAX GLOBAL,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0328.HK,ALCO HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0329.HK,OCI INTL,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0330.HK,ESPRIT HOLDINGS,Equity,Equity Securities (Main Board),"2,500",,,,N,,N
0331.HK,FSE LIFESTYLE,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0332.HK,YUANHENG GAS,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0333.HK,TOP FORM INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0334.HK,CH DISPLAY OPT,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0335.HK,UPBEST GROUP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0336.HK,HUABAO INTL,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0337.HK,GREENLAND HK,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
